"filename", "language", "TypeScript", "Markdown", "WebAssembly Text Format", "JSON", "JSON with Comments", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/CLOUDFLARE.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 0, 23, 95
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/DEPLOYMENT.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 42, 196
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/_agent/revised-livetree-api.md", "Markdown", 0, 177, 0, 0, 0, 0, 0, 0, 70, 247
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/_docs/TODO.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 75, 21, 165
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/_docs/color-sudoku.md", "Markdown", 0, 291, 0, 0, 0, 0, 0, 0, 174, 465
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/agents.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 20, 15, 74
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/benchmarks/hson-node-projection.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 7, 50
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/index.html", "HTML", 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/package-lock.json", "JSON", 0, 0, 0, 3321, 0, 0, 0, 0, 1, 3322
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/package.json", "JSON", 0, 0, 0, 134, 0, 0, 0, 0, 1, 135
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/playwright.config.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/public/hson-demo.wasm", "WebAssembly Text Format", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/public/hson-fireworks.wasm", "WebAssembly Text Format", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/philliphanson/Documents/Design/web/hson/hson-demo2/readme.md", "Markdown", 0, 164, 0, 0, 0, 0, 0, 0, 100, 264
